id_actividadæid_tipo_componenteæCom_Lubætipo_consumidoæcantidad_consumida
907221æ25æGæ1    æ54æ
907226æ25æGæ1    æ50æ
907228æ25æGæ1    æ47æ
907231æ25æGæ1    æ64æ
907232æ25æGæ1    æ42æ
907233æ25æGæ1    æ44æ
907234æ25æGæ1    æ50æ
907236æ25æGæ1    æ76æ
907238æ25æGæ1    æ60æ
907243æ25æGæ1    æ55æ
907245æ25æGæ1    æ35æ
907250æ25æGæ1    æ80æ
907273æ25æGæ1    æ59æ
907275æ25æGæ1    æ37æ
907278æ25æGæ1    æ70æ
907324æ25æGæ1    æ42.58æ
907334æ25æGæ1    æ77æ
907342æ25æGæ1    æ74.02æ
907350æ25æGæ1    æ58.7æ
907352æ25æGæ1    æ51æ
907354æ25æGæ1    æ30æ
907355æ25æGæ1    æ67æ
907359æ25æGæ1    æ75.3æ
907361æ25æGæ1    æ36.1æ
907368æ25æGæ1    æ56.54æ
907394æ25æGæ1    æ47æ
907400æ25æGæ1    æ66.33æ
907402æ25æGæ1    æ54.3æ
907426æ25æGæ1    æ57.5æ
907429æ25æGæ1    æ69æ
907433æ25æGæ1    æ69.5æ
907438æ25æGæ1    æ64æ
907487æ25æGæ1    æ60æ
907489æ25æGæ1    æ25.77æ
907491æ25æGæ1    æ48æ
907492æ25æGæ1    æ81æ
907499æ25æGæ1    æ91æ
907504æ25æGæ1    æ75æ
907506æ25æGæ1    æ25.35æ
907507æ25æGæ1    æ44æ
907514æ25æGæ1    æ71æ
907519æ25æGæ1    æ88æ
907532æ25æGæ1    æ37æ
907536æ25æGæ1    æ49æ
907543æ25æGæ1    æ44æ
907546æ25æGæ1    æ77æ
907547æ25æGæ1    æ62æ
907554æ25æGæ1    æ64æ
907556æ25æGæ1    æ84æ
907565æ25æGæ1    æ40æ
907567æ25æGæ1    æ50æ
907572æ25æGæ1    æ57æ
907576æ25æGæ1    æ51æ
907579æ25æGæ1    æ65æ
907581æ25æGæ1    æ55.6æ
907584æ25æGæ1    æ54æ
907587æ25æGæ1    æ40æ
907589æ25æGæ1    æ50æ
907591æ25æGæ1    æ33æ
907595æ25æGæ1    æ50æ
907603æ25æGæ1    æ52æ
907607æ25æGæ1    æ35æ
907609æ25æGæ1    æ54æ
907611æ25æGæ1    æ46æ
907613æ25æGæ1    æ40æ
907614æ25æGæ1    æ70æ
907615æ25æGæ1    æ49æ
907623æ25æGæ1    æ77æ
907629æ25æGæ1    æ88æ
907633æ25æGæ1    æ51æ
907635æ25æGæ1    æ70æ
907636æ25æGæ1    æ40æ
907641æ25æGæ1    æ58æ
907643æ25æGæ1    æ87.7æ
907644æ25æGæ1    æ27æ
907646æ25æGæ1    æ40æ
907648æ25æGæ1    æ53æ
907656æ25æGæ1    æ18.56æ
907659æ25æGæ1    æ20æ
907661æ25æGæ1    æ74æ
907666æ25æGæ1    æ75æ
907668æ25æGæ1    æ49æ
907788æ25æGæ1    æ60æ
907798æ25æGæ1    æ61.7æ
907808æ25æGæ1    æ42æ
907812æ25æGæ1    æ79æ
907813æ25æGæ1    æ44æ
907848æ25æGæ1    æ44.99æ
907851æ25æGæ1    æ40æ
907854æ25æGæ1    æ50æ
907856æ25æGæ1    æ67æ
907865æ25æGæ1    æ70æ
907876æ25æGæ1    æ98æ
907879æ25æGæ1    æ57.5æ
907883æ25æGæ1    æ81.5æ
907889æ25æGæ1    æ94.2æ
907890æ25æGæ1    æ35æ
907891æ25æGæ1    æ30æ
907893æ25æGæ1    æ50æ
907896æ25æGæ1    æ30æ
907897æ25æGæ1    æ70æ
907898æ25æGæ1    æ67æ
907903æ25æGæ1    æ64æ
907925æ25æGæ1    æ49æ
907974æ25æGæ1    æ13æ
907976æ25æGæ1    æ12æ
907992æ25æGæ1    æ41æ
